,bnf_code,quantity
600,770,2070
601,772,12221
602,773,17
603,776,12490
604,777,370561
605,778,2436
606,780,270
607,781,2810
608,783,1800
609,785,154484
610,786,3
611,787,7518
612,788,4
613,789,11
614,790,360860
615,791,143
616,792,409410
617,793,4270
618,795,5730
619,796,5640
620,798,966206
621,799,17822
622,800,3584569
623,801,64656
624,802,1060
625,803,5166
626,804,4
627,805,1564
628,806,669660
629,807,1212
630,808,17
631,809,8960
632,810,1
633,811,141
634,812,674365
635,813,35638
636,814,2009496
637,815,280
638,816,70
639,817,1850
640,818,30
641,819,74
642,820,57
643,821,3601
644,822,17881
645,823,550
646,824,12200
647,826,109
648,827,474300
649,828,19075
650,829,970
651,831,122
652,833,17
653,834,10
654,835,900
655,836,400
656,837,709
657,839,510
658,840,50
659,841,191
660,842,600
661,846,1256
662,847,9789101
663,848,4984
664,849,20732
665,850,1
666,851,39
667,853,60
668,854,53
669,855,89971
670,856,840
671,857,180
672,858,3779
673,859,540
674,860,336051
675,861,17366
676,862,112
677,863,84
678,864,385
679,865,1875866
680,867,117072
681,868,305
682,870,310
683,871,24
684,872,30
685,873,120
686,874,5365
687,876,14394
688,877,214
689,879,60
690,880,25877
691,881,2070
692,882,801
693,883,10750
694,884,4626400
695,885,2
696,886,3916
697,887,24
698,888,15
699,889,1000
700,890,4300
701,891,1623828
702,892,1380
703,893,3
704,894,1
705,895,10
706,897,31
707,898,200
708,899,11465
709,900,11
710,901,280
711,902,360
712,903,960
713,904,280
714,905,1
715,906,15300
716,907,842
717,908,140
718,909,1300
719,911,400
720,912,11448
721,913,147874
722,914,156
723,915,54
724,916,3563
725,918,101
726,920,318
727,921,57000
728,923,133
729,926,9400
730,927,4
731,928,6202
732,929,1150
733,930,15810
734,932,11
735,934,7205
736,935,515896
737,937,10
738,940,100
739,943,22
740,944,18793
741,945,1000
742,946,14035
743,947,269167
744,948,11
745,949,4217
746,950,6
747,951,2
748,952,30
749,953,6119
750,955,4246
751,956,2154
752,957,13
753,958,115
754,959,2
755,960,4738244
756,962,4230
757,965,2
758,966,34713
759,968,135
760,969,1773
761,972,6446
762,973,60
763,974,10
764,976,600
765,978,360
766,979,4200
767,980,18
768,981,50
769,982,476
770,983,932700
771,984,13578
772,985,8280
773,986,2
774,988,15
775,989,1551
776,990,258008
777,991,3409
778,992,214
779,994,2
780,995,30
781,997,7791
782,999,18
783,1001,65
784,1002,22223
785,1003,56020
786,1004,1204
787,1006,50
788,1007,600
789,1008,97111
790,1009,120
791,1010,60
792,1012,4
793,1013,4
794,1014,57537
795,1015,119
796,1016,885
797,1019,3801
798,1022,40
799,1023,6850
800,1024,2
801,1025,800
802,1026,270
803,1027,69600
804,1028,1
805,1029,15860
806,1031,300
807,1032,2
808,1033,332778
809,1034,326
810,1035,414
811,1036,840
812,1037,2120
813,1038,103
814,1039,12454800
815,1042,146736
816,1045,94470
817,1046,606600
818,1048,2403
819,1050,180
820,1051,50
821,1052,480
822,1054,200
823,1055,1200
824,1057,7650
825,1058,23295
826,1059,90
827,1060,85
828,1061,3883
829,1062,380999
830,1063,3
831,1064,2
832,1066,4700
833,1067,5437
834,1068,4770
835,1069,7005
836,1070,44
837,1072,125
838,1073,30
839,1076,307337
840,1077,3407
841,1078,7
842,1080,4
843,1081,210
844,1082,320664
845,1083,314800
846,1084,200
847,1085,6060
848,1087,448
849,1088,603
850,1089,7
851,1092,4866
852,1093,358
853,1095,181
854,1096,182
855,1097,2400
856,1098,8700
857,1101,39824
858,1102,590
859,1104,200
860,1105,108
861,1106,289957
862,1107,173587
863,1108,101
864,1110,943
865,1112,259
866,1113,60
867,1114,60
868,1115,320
869,1116,89332
870,1117,255
871,1119,12
872,1120,19950
873,1121,39217
874,1122,60507
875,1123,14
876,1124,11671
877,1126,65
878,1127,4735994
879,1128,1
880,1129,200
881,1130,1
882,1131,10
883,1132,75
884,1133,10
885,1134,36589
886,1135,16294
887,1136,1335
888,1137,233200
889,1138,18659
890,1139,270
891,1140,400
892,1141,7011
893,1143,1370
894,1145,108
895,1146,14
896,1147,281
897,1148,220
898,1149,83520
899,1151,749597
900,1152,79000
901,1153,32
902,1156,16489
903,1157,165
904,1158,11
905,1160,151041
906,1161,810
907,1163,9748
908,1165,1460
909,1166,2825
910,1167,1193
911,1168,250
912,1171,20250
913,1172,2807
914,1174,40
915,1175,11946
916,1176,39522
917,1177,370
918,1178,870
919,1179,11
920,1180,5181
921,1181,51
922,1182,1560
923,1183,79
924,1184,235332
925,1185,83400
926,1188,1312
927,1189,450
928,1190,16030
929,1191,12
930,1193,350
931,1194,20475
932,1195,9633189
933,1196,6532
934,1197,750
935,1198,26096
936,1199,480
937,1201,17230
938,1202,1090
939,1203,9085
940,1204,7801
941,1205,1350
942,1208,31780
943,1209,30
944,1210,2482
945,1211,2970
946,1212,750
947,1213,500
948,1215,670
949,1216,17310
950,1217,1386
951,1218,6310
952,1219,120
953,1220,162
954,1221,1
955,1222,6
956,1223,5
957,1225,30000
958,1226,360
959,1227,8701
960,1228,2130
961,1229,6
962,1230,4
963,1231,10
964,1232,1764
965,1234,18
966,1235,1280
967,1239,5542
968,1241,150
969,1242,20
970,1243,44561
971,1244,7090160
972,1245,10296
973,1246,43
974,1247,120
975,1248,6620
976,1249,704945
977,1251,30
978,1252,18927733
979,1253,110
980,1254,40
981,1255,6
982,1256,120667
983,1257,161389
984,1258,175
985,1259,86440
986,1262,8
987,1263,9612
988,1264,8766
989,1265,1
990,1267,1194150
991,1269,40
992,1272,6599647
993,1273,180
994,1274,924
995,1275,48580
996,1276,4
997,1277,9
998,1279,56
999,1280,25159
1000,1281,2
1001,1282,950
1002,1283,200
1003,1284,270
1004,1285,69
1005,1286,1
1006,1287,5383
1007,1288,9
1008,1289,790
1009,1291,112
1010,1293,120651
1011,1294,6
1012,1295,24350
1013,1296,1920
1014,1297,426879
1015,1298,265
1016,1300,6423
1017,1302,156
1018,1304,60
1019,1305,21955
1020,1306,56
1021,1310,630
1022,1311,35
1023,1312,658
1024,1313,60
1025,1314,4116
1026,1316,60
1027,1318,32188
1028,1319,714
1029,1321,2873879
1030,1322,5
1031,1323,25011
1032,1324,12
1033,1325,402551
1034,1326,5019
1035,1328,80
1036,1329,130
1037,1330,13
1038,1331,210
1039,1332,2430
1040,1333,5500
1041,1334,84
1042,1338,30850
1043,1339,2
1044,1340,60
1045,1341,975
1046,1343,678
1047,1345,120
1048,1346,7121
1049,1347,10
1050,1348,180
1051,1349,10612
1052,1350,2303
1053,1351,64
1054,1354,63944
1055,1355,137883
1056,1356,30
1057,1357,835000
1058,1358,15901
1059,1359,655
1060,1360,1467
1061,1361,7
1062,1362,1710
1063,1364,1400
1064,1365,9471669
1065,1366,910
1066,1367,3044
1067,1369,72
1068,1370,1856
1069,1372,60
1070,1373,220
1071,1374,3600
1072,1376,1103109
1073,1377,90
1074,1378,103000
1075,1380,2680
1076,1381,5735
1077,1382,5272
1078,1383,100
1079,1384,60
1080,1386,22076
1081,1388,25
1082,1390,296
1083,1391,24
1084,1392,158749
1085,1393,18786
1086,1395,30419880
1087,1396,140
1088,1397,12
1089,1398,941552
1090,1399,116
1091,1401,190
1092,1405,223759
1093,1406,3641
1094,1407,3403
1095,1408,29
1096,1409,857500
1097,1410,490
1098,1411,901
1099,1412,9480
1100,1414,150
1101,1415,35
1102,1416,1784
1103,1417,625
1104,1418,254605
1105,1419,13090
1106,1420,346468
1107,1422,280
1108,1423,284873
1109,1425,425
1110,1426,1380
1111,1428,97
1112,1429,4930
1113,1430,35404
1114,1431,21
1115,1432,202369
1116,1434,4142
1117,1435,4846
1118,1436,12
1119,1437,90
1120,1438,360
1121,1441,283614
1122,1442,6389
1123,1443,4500
1124,1446,3635
1125,1447,27
1126,1448,290
1127,1449,16174
1128,1450,176902
1129,1451,176
1130,1452,79672
1131,1453,560
1132,1454,72
1133,1455,148
1134,1456,145
1135,1457,107982
1136,1458,6
1137,1459,39964
1138,1460,16401
1139,1461,270
1140,1462,240
1141,1463,3
1142,1464,1420
1143,1465,750
1144,1466,416
1145,1468,134
1146,1469,13
1147,1471,1425
1148,1472,2052
1149,1473,31
1150,1474,2
1151,1475,300
1152,1478,27496
1153,1480,26
1154,1483,100
1155,1484,150
1156,1485,270
1157,1486,4
1158,1487,215407
1159,1488,1716
1160,1489,2675
1161,1490,625
1162,1491,1686
1163,1492,32096
1164,1493,880
1165,1494,700
1166,1495,2053784
1167,1496,2
1168,1497,690
1169,1498,1500
1170,1500,2206
1171,1501,60
1172,1502,79157
1173,1503,35
1174,1504,220
1175,1505,639139
1176,1506,4900
1177,1507,640
1178,1508,920
1179,1510,172
1180,1511,112
1181,1513,64
1182,1514,77
1183,1515,3974496
1184,1518,6909
1185,1519,574
1186,1520,232007
1187,1521,364
1188,1522,100
1189,1523,254
1190,1524,12
1191,1525,6449963
1192,1526,14182
1193,1527,400
1194,1528,4
1195,1529,30
1196,1531,185
1197,1532,5
1198,1533,167
1199,1534,2
1200,1535,120
1201,1537,156
1202,1538,5823
1203,1539,30
1204,1540,120
1205,1541,933
1206,1542,1601
1207,1543,560
1208,1544,7972
1209,1545,79663
1210,1549,739200
1211,1550,2886400
1212,1551,21364
1213,1552,550
1214,1553,469
1215,1554,531
1216,1555,10
1217,1556,1255
1218,1559,111
1219,1560,6
1220,1563,1320
1221,1564,1
1222,1565,210
1223,1566,25527
1224,1568,850
1225,1569,15
1226,1570,30
1227,1571,2713
1228,1572,28945
1229,1573,30
1230,1574,56
1231,1575,30
1232,1576,336
1233,1577,83
1234,1581,2
1235,1582,7063
1236,1583,2821
1237,1584,57800
1238,1585,26093
1239,1586,1
1240,1587,7
1241,1589,16
1242,1590,1990
1243,1593,19492
1244,1594,3880036
1245,1595,70020
1246,1596,4
1247,1598,10
1248,1599,3
1249,1600,3930
1250,1601,6680
1251,1604,56
1252,1606,1960060
1253,1607,51
1254,1608,8041
1255,1610,2
1256,1611,10
1257,1613,2
1258,1614,148
1259,1615,14
1260,1616,31053
1261,1617,75848
1262,1618,943259
1263,1619,1290
1264,1620,70175
1265,1621,20
1266,1625,2
1267,1626,122
1268,1629,236887
1269,1630,14840
1270,1632,252
1271,1633,1792
1272,1635,33
1273,1636,63
1274,1637,28
1275,1638,1011725
1276,1639,370652
1277,1640,500
1278,1641,1
1279,1642,15377
1280,1644,540
1281,1645,3664
1282,1646,4859
1283,1647,2937
1284,1648,60
1285,1649,60
1286,1650,984
1287,1651,566
1288,1652,2
1289,1653,1
1290,1654,4410
1291,1655,1932
1292,1658,94
1293,1659,17462917
1294,1660,279875
1295,1661,1200
1296,1662,1080
1297,1664,13
1298,1665,330
1299,1666,731700
1300,1667,2
1301,1668,180
1302,1669,120
1303,1670,38698
1304,1671,1425
1305,1672,3200
1306,1673,1080
1307,1674,792591
1308,1675,360
1309,1678,40
1310,1679,6
1311,1681,10936
1312,1683,1531585
1313,1684,1230
1314,1685,2
1315,1686,24628
1316,1687,2157
1317,1688,1738
1318,1689,152
1319,1690,374
1320,1691,76590
1321,1692,1612
1322,1693,10535944
1323,1694,43435
1324,1695,45891
1325,1696,7158
1326,1697,8408
1327,1699,3852
1328,1700,532
1329,1701,10
1330,1702,60
1331,1703,90
1332,1704,60
1333,1706,17
1334,1708,335
1335,1709,3
1336,1710,2
1337,1712,2
1338,1713,1002
1339,1715,5
1340,1716,70
1341,1717,1449
1342,1718,16820
1343,1719,240
1344,1720,4040
1345,1721,422240
1346,1722,34200
1347,1723,30
1348,1725,2
1349,1726,105004
1350,1727,45
1351,1728,1347000
1352,1729,7486
1353,1731,868656
1354,1732,2
1355,1733,5000
1356,1734,24670
1357,1735,192
1358,1736,15639
1359,1737,5931
1360,1739,672
1361,1740,772
1362,1742,300
1363,1743,1116
1364,1744,2836
1365,1745,50
1366,1746,80
1367,1748,956794
1368,1749,252238
1369,1750,654
1370,1752,90
1371,1753,3790
1372,1755,2820
1373,1757,200
1374,1758,57920
1375,1759,1400
1376,1760,11087
1377,1761,434655
1378,1762,710
1379,1763,689
1380,1764,1411518
1381,1765,350
1382,1767,360
1383,1768,318
1384,1770,3754
1385,1771,41591
1386,1772,12
1387,1773,486385
1388,1774,14
1389,1776,47
1390,1777,89553
1391,1778,13800
1392,1779,10
1393,1780,482
1394,1781,30
1395,1782,60
1396,1783,240
1397,1784,1110
1398,1786,12866
1399,1787,139066
1400,1789,1064
1401,1790,1207593
1402,1792,1
1403,1793,120
1404,1794,1544182
1405,1795,1163
1406,1796,11607
1407,1797,15
1408,1798,1
1409,1800,105
1410,1803,18
1411,1804,636509
1412,1805,156100
1413,1806,840
1414,1808,80
1415,1809,202
1416,1810,500
1417,1811,62
1418,1812,330
1419,1814,30
1420,1815,6242136
1421,1816,4905336
1422,1818,20496
1423,1819,168
1424,1820,2
1425,1822,4
1426,1824,67
1427,1826,126
1428,1828,25000
1429,1829,100
1430,1830,3932
1431,1832,150
1432,1833,1950
1433,1834,5807
1434,1836,132
1435,1838,633
1436,1839,380
1437,1840,16872
1438,1841,377954
1439,1842,337
1440,1843,36
1441,1844,481
1442,1845,2
1443,1846,163069
1444,1847,2
1445,1848,103
1446,1851,7793
1447,1852,210
1448,1853,105120
1449,1854,280
1450,1856,1
1451,1857,215
1452,1858,3
1453,1859,2286
1454,1860,13017
1455,1861,161
1456,1862,97080
1457,1866,8700
1458,1867,180
1459,1869,450
1460,1870,7
1461,1871,2527
1462,1872,620
1463,1873,121
1464,1874,1040
1465,1875,26588
1466,1876,2
1467,1877,5384569
1468,1878,201
1469,1879,6
1470,1881,1446
1471,1883,6
1472,1884,251188
1473,1885,140
1474,1886,389
1475,1887,39005
1476,1889,11
1477,1890,1656
1478,1892,11098
1479,1893,30
1480,1895,20
1481,1899,43964
1482,1900,700
1483,1901,10293
1484,1904,3912424
1485,1905,4154
1486,1906,675
1487,1907,94
1488,1908,5632
1489,1910,9
1490,1911,250
1491,1912,168
1492,1913,20
1493,1915,299287
1494,1916,1
1495,1917,944
1496,1919,82
1497,1923,4558
1498,1924,38
1499,1925,45390
1500,1926,95
1501,1927,129
1502,1928,30
1503,1929,310
1504,1930,36
1505,1932,12645
1506,1933,51521
1507,1934,60
1508,1936,2802
1509,1937,336
1510,1939,10
1511,1940,12
1512,1944,300
1513,1945,5940
1514,1946,23
1515,1948,435326
1516,1949,450
1517,1950,9115
1518,1951,75
1519,1952,18975
1520,1953,30
1521,1954,758400
1522,1956,5950
1523,1957,2
1524,1958,3510
1525,1961,266
1526,1962,330
1527,1963,420
1528,1964,19
1529,1965,40
1530,1966,20
1531,1968,468
1532,1969,37
1533,1970,1900
1534,1973,6
1535,1974,11000
1536,1975,490
1537,1976,770
1538,1977,2618
1539,1978,360
1540,1979,4
1541,1980,37800
1542,1981,8
1543,1984,940
1544,1985,4
1545,1986,27604
1546,1987,49238
1547,1988,1
1548,1989,105
1549,1990,1487
1550,1991,22
1551,1993,9387
1552,1994,93500
1553,1995,10
1554,1997,340
1555,1998,1
1556,1999,1167628
1557,2001,56
1558,2002,508
1559,2004,170
1560,2006,36
1561,2007,7
1562,2008,312
1563,2009,6020
1564,2010,1720
1565,2014,320
1566,2015,54770
1567,2017,180
1568,2022,87600
1569,2024,31307
1570,2025,496
1571,2026,632
1572,2027,1560
1573,2028,12379464
1574,2029,131850
1575,2030,20310
1576,2031,30
1577,2032,1328950
1578,2034,126
1579,2035,12698
1580,2036,15
1581,2037,132
1582,2038,60
1583,2039,160
1584,2043,600
1585,2044,240
1586,2046,1795
1587,2047,1194
1588,2048,223
1589,2049,352
1590,2050,219517
1591,2051,1650
1592,2052,1
1593,2053,7325
1594,2054,6510
1595,2055,49251
1596,2056,193177
1597,2057,11523115
1598,2058,100
1599,2060,445
1600,2062,7940
1601,2064,1517
1602,2065,2438
1603,2068,3
1604,2070,3396
1605,2071,33300
1606,2073,1000
1607,2075,90
1608,2076,565
1609,2077,600
1610,2078,450
1611,2080,343
1612,2081,13765
1613,2082,65
1614,2083,58766
1615,2084,300
1616,2085,1
1617,2086,40765
1618,2087,7
1619,2088,20298700
1620,2089,340087
1621,2090,10750
1622,2091,770
1623,2092,6717
1624,2093,192
1625,2094,862
1626,2095,492
1627,2097,659
1628,2098,475
1629,2100,9338
1630,2101,270
1631,2102,7663
1632,2103,720
1633,2104,1540
1634,2105,11
1635,2106,4
1636,2108,140
1637,2109,218
1638,2111,4679100
1639,2112,5
1640,2113,93
1641,2114,4
1642,2115,9
1643,2116,103
1644,2117,113
1645,2118,3040
1646,2119,5
1647,2120,79
1648,2121,180
1649,2122,2900
1650,2125,34020
1651,2126,460
1652,2128,28
1653,2129,95
1654,2133,232500
1655,2134,205
1656,2135,15
1657,2136,1
1658,2137,1823
1659,2139,794655
1660,2140,210380
1661,2141,420
1662,2142,4
1663,2143,2200
1664,2145,30
1665,2146,2970
1666,2147,10
1667,2148,710
1668,2149,90
1669,2150,4298
1670,2152,2280
1671,2153,7124
1672,2154,581
1673,2157,49
1674,2158,979
1675,2159,450
1676,2160,620
1677,2161,553
1678,2162,994
1679,2164,254
1680,2165,88
1681,2166,3
1682,2167,510104
1683,2168,142
1684,2171,416
1685,2172,24
1686,2173,9747
1687,2174,11
1688,2175,13735
1689,2176,52
1690,2177,92
1691,2179,7219
1692,2180,2140
1693,2181,7068
1694,2182,1840
1695,2183,3
1696,2184,150
1697,2185,713
1698,2186,155
1699,2187,25516
1700,2188,774
1701,2189,120
1702,2190,30
1703,2191,570
1704,2192,94
1705,2193,3275
1706,2194,20220
1707,2195,60
1708,2196,20
1709,2197,125
1710,2199,5017544
1711,2200,3
1712,2201,694263
1713,2202,9697952
1714,2203,2268
1715,2204,352403
1716,2205,10
1717,2206,3028
1718,2207,13
1719,2208,500
1720,2209,696
1721,2210,8726
1722,2211,2779
1723,2212,9000
1724,2213,75700
1725,2214,3050
1726,2215,570
1727,2216,3240
1728,2217,500
1729,2221,28
1730,2222,2
1731,2223,256
1732,2224,56
1733,2225,13504
1734,2228,18
1735,2229,224
1736,2230,265746
1737,2232,237
1738,2234,3990978
1739,2235,34345
1740,2237,3185982
1741,2239,720
1742,2241,759
1743,2242,6172
1744,2243,304097
1745,2244,390
1746,2245,2070
1747,2247,350
1748,2248,312
1749,2249,18
1750,2250,991
1751,2251,874
1752,2253,15
1753,2255,15600
1754,2257,480
1755,2259,2
1756,2260,60
1757,2261,5
1758,2262,1912
1759,2263,12
1760,2264,1
1761,2265,241
1762,2266,72
1763,2267,146845
1764,2268,411
1765,2269,180
1766,2270,345
1767,2271,1
1768,2273,349
1769,2274,10048
1770,2276,1263
1771,2277,3
1772,2278,30176
1773,2283,616735
1774,2284,21907
1775,2285,335
1776,2286,700
1777,2289,247
1778,2290,15430
1779,2291,200
1780,2292,810
1781,2293,92322
1782,2294,72
1783,2295,429
1784,2296,392
1785,2297,33600
1786,2298,300
1787,2299,1
1788,2300,15
1789,2301,360
1790,2302,29
1791,2303,303
1792,2304,90290
1793,2305,185
1794,2306,28
1795,2307,256572
1796,2309,270
1797,2310,60
1798,2313,100
1799,2314,420
1800,2315,218
1801,2316,1248
1802,2317,51
1803,2318,420
1804,2320,20
1805,2321,15032
1806,2323,313965
1807,2324,30
1808,2326,1380
1809,2327,380
1810,2328,14882
1811,2330,140
1812,2331,1962180
1813,2332,557
1814,2333,1410
1815,2334,220
1816,2335,212223
1817,2336,100
1818,2337,150
1819,2338,150
1820,2339,22
1821,2340,91581
1822,2341,4
1823,2342,300
1824,2343,1100
1825,2344,1
1826,2345,1763
1827,2346,59950
1828,2347,1
1829,2348,18
1830,2349,8370
1831,2350,150
1832,2352,20105
1833,2353,39050
1834,2355,83500
1835,2357,15
1836,2358,3833
1837,2359,381
1838,2362,228
1839,2363,2456
1840,2364,334838
1841,2365,70
1842,2367,6
1843,2368,2773
1844,2369,372
1845,2370,17440
1846,2371,10
1847,2372,840
1848,2373,3536
1849,2374,767
1850,2376,5280
1851,2377,195
1852,2378,1705434
1853,2379,10400
1854,2380,140
1855,2381,4
